cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,valid_pixel_count
UC_17136_2284,10.20659247851595,76.96989933158285,26.58468200000001,28.071520700000008,0.8414186835289001,-0.3580924272537231,19.898039215686275
UC_17135_2285,10.211012945994824,76.96540775507094,26.719693790000008,28.389396560000023,0.8323454260826111,-0.3672593832015991,21.654901960784315
UC_17136_2285,10.211012945981269,76.96989933160613,26.765837060000024,27.958726039999988,0.8509263396263123,-0.3739583492279053,15.372549019607844
UC_17137_2285,10.211012945971774,76.97439090794488,26.302695350000025,27.746808800000053,0.8409556746482849,-0.3698416650295257,14.509803921568627
UC_17134_2286,10.215433352003288,76.9609161787268,26.502649519999977,27.869857519999982,0.8353402614593506,-0.3651213049888611,20.53333333333333
UC_17135_2286,10.215433352004084,76.96540775513,26.136921380000015,27.753644839999996,0.8197483420372009,-0.3416493833065033,23.349019607843136
UC_17136_2286,10.215433352029828,76.96989933155943,27.093966980000005,28.26292982000001,0.8442361354827881,-0.3704699575901031,18.152941176470588
UC_17137_2286,10.215433352006045,76.97439090795775,26.719693790000008,28.08177476000003,0.8495027422904968,-0.3886734247207641,17.16862745098039
UC_17138_2286,10.215433352014063,76.97888248443984,26.44796120000001,28.29369200000002,0.8468208909034729,-0.3806329071521759,17.87843137254902
UC_17129_2287,10.219853696745403,76.93845829662396,27.220433720000017,29.797620800000004,0.8227719068527222,-0.3385676145553589,17.63137254901961
UC_17130_2287,10.21985369675893,76.94294987296702,27.61692404000001,29.11401680000006,0.8443759679794312,-0.3706975877285003,17.258823529411764
UC_17131_2287,10.219853696741524,76.94744144951028,27.30759323000004,29.11401680000006,0.8334314227104187,-0.3623865246772766,17.564705882352943
UC_17132_2287,10.219853696693168,76.95193302591703,28.97387798,30.70339610000002,0.7797681093215942,-0.2662250399589538,18.54901960784314
UC_17133_2287,10.2198536966534,76.95642460229921,27.722882659999986,29.315679980000027,0.7790703773498535,-0.2928181290626526,20.364705882352943
UC_17134_2287,10.21985369670127,76.96091617873675,26.70431270000003,27.910873760000012,0.8351297974586487,-0.350078284740448,23.16470588235294
UC_17135_2287,10.219853696722774,76.96540775514272,26.17281059000004,28.11595496000001,0.8421015739440918,-0.3650009632110595,23.623529411764707
UC_17136_2287,10.219853696720207,76.96989933157028,26.717984779999995,27.941635940000022,0.850117564201355,-0.3701585531234741,21.196078431372552
UC_17137_2287,10.21985369673309,76.97439090793583,26.56930091000001,28.09886486000005,0.844750702381134,-0.3692770898342132,21.043137254901964
UC_17138_2287,10.21985369672189,76.97888248445852,26.900848850000017,28.57055162000006,0.8395222425460815,-0.3627000153064728,22.858823529411765
UC_17139_2287,10.21985369672386,76.98337406081144,26.85470558000003,28.235585660000027,0.8104409575462341,-0.334304541349411,22.180392156862744
UC_17140_2287,10.219853696701744,76.9878656372439,26.64107933,28.21507754000004,0.820565938949585,-0.3469726145267486,23.31764705882353
UC_17141_2287,10.219853696697372,76.99235721370067,26.001909590000025,28.17747932000003,0.8511035442352295,-0.3989458978176117,24.98039215686275
UC_17198_2287,10.21985369672842,77.24837706965104,25.877151860000023,28.163807239999983,0.7867156267166138,-0.341834157705307,32.48235294117647
UC_17203_2287,10.21985369669327,77.27083495181702,25.887405919999992,29.54126930000001,0.7128967642784119,-0.2275628894567489,28.545098039215688
UC_17204_2287,10.219853696676376,77.27532652812152,27.025606580000044,30.40602836000005,0.634790301322937,-0.1076925173401832,31.87058823529412
UC_17121_2288,10.224273979889745,76.90252568533566,28.29711001999999,30.159930920000026,0.7606821656227112,-0.2429069280624389,7.874509803921569
UC_17122_2288,10.22427397986984,76.90701726163229,28.061266640000014,30.428245490000023,0.8168574571609497,-0.3378815054893493,9.84313725490196
UC_17123_2288,10.224273979916603,76.91150883810707,28.36547042000004,30.019792100000014,0.811127781867981,-0.2866182029247284,15.411764705882351
UC_17124_2288,10.22427397994642,76.91600041454112,27.931381880000004,29.1652871,0.8264553546905518,-0.3235963582992553,15.890196078431371
UC_17125_2288,10.224273979922062,76.92049199099054,27.52292849,30.204365180000025,0.8392098546028137,-0.3514511585235595,17.380392156862744
UC_17128_2288,10.224273979895658,76.93396672022462,27.613506020000045,29.14477898000001,0.8201035857200623,-0.306624561548233,21.12156862745098
UC_17129_2288,10.224273979868242,76.93845829662338,27.922836830000023,29.59595762000004,0.8066183924674988,-0.3097259700298309,22.780392156862742
UC_17130_2288,10.224273979870285,76.94294987298342,28.43553983000001,30.12575072000004,0.8235805034637451,-0.3425177037715912,22.611764705882354
UC_17131_2288,10.224273979901778,76.94744144950818,28.90209956000001,30.973419680000006,0.8197956085205078,-0.3368046879768371,21.79607843137255
UC_17132_2288,10.224273979927789,76.95193302589642,28.76025173000002,31.007599880000043,0.8106462359428406,-0.3374501466751098,22.780392156862742
UC_17133_2288,10.224273979948316,76.95642460230025,27.47678522000001,29.725842380000017,0.8288425207138062,-0.3477613031864166,22.301960784313728
UC_17134_2288,10.224273979926116,76.96091617876178,26.550501800000006,28.009996340000043,0.8454880118370056,-0.3839773535728454,23.623529411764707
UC_17135_2288,10.22427397989843,76.9654077551114,26.78634518000004,27.98265218000006,0.8533096313476562,-0.3957433700561523,23.623529411764707
UC_17136_2288,10.224273979867547,76.96989933156759,27.003389449999982,27.890365640000027,0.8462605476379395,-0.380035936832428,21.654901960784315
UC_17137_2288,10.22427397987528,76.97439090795946,26.99142638000004,28.269765860000007,0.811663806438446,-0.3373733162879944,21.654901960784315
UC_17138_2288,10.224273979882105,76.97888248443046,26.60348111000002,27.979234160000036,0.8370455503463745,-0.3600231409072876,23.623529411764707
UC_17139_2288,10.224273979890304,76.98337406084985,26.700894680000037,28.450920920000044,0.8432402610778809,-0.3774844706058502,25.08627450980392
UC_17140_2288,10.224273979902163,76.98786563719507,26.885467759999983,28.80639500000001,0.835406482219696,-0.3636350333690643,26.07058823529412
UC_17141_2288,10.224273979878156,76.99235721372064,26.09932316000004,28.24583972000005,0.8464230298995972,-0.3773255348205566,24.77647058823529
UC_17197_2288,10.224273979881948,77.24388549322218,25.00555675999999,27.44260502000003,0.7804457545280457,-0.3708923161029815,31.49803921568628
UC_17198_2288,10.22427397989806,77.24837706968898,24.98846666000003,27.179417479999984,0.7596171498298645,-0.3260040879249573,29.219607843137258
UC_17199_2288,10.224273979897518,77.25286864606312,23.77848757999999,24.786803480000003,0.782240629196167,-0.3845395147800445,31.32941176470588
UC_17200_2288,10.224273979882565,77.257360222464,24.39885821000001,25.87031582000003,0.7596697807312012,-0.3210709691047668,26.098039215686278
UC_17201_2288,10.224273979895008,77.26185179894807,25.02264686000001,26.236043960000018,0.7230139374732971,-0.2087868601083755,24.129411764705885
UC_17202_2288,10.224273979895274,77.26634337526143,26.72140280000002,29.366950280000022,0.6874797344207764,-0.1693077087402343,24.27058823529412
UC_17203_2288,10.224273979883368,77.27083495180658,26.726529830000004,29.356696220000003,0.6952672004699707,-0.2173634618520736,30.992156862745095
UC_17204_2288,10.224273979898856,77.27532652813053,27.996324260000023,33.024231680000014,0.6029724478721619,-0.0933699533343315,31.666666666666668
UC_17120_2289,10.228694201542512,76.89803410878956,28.946533820000013,30.655543820000048,0.7657743692398071,-0.2971162497997284,10.211764705882352
UC_17121_2289,10.22869420151727,76.90252568531686,28.68676430000005,30.604273519999992,0.7285481095314026,-0.2352607548236847,11.874509803921567
UC_17122_2289,10.228694201537738,76.90701726165166,28.697018360000012,29.68140812000001,0.8288223743438721,-0.333323210477829,13.84313725490196
UC_17123_2289,10.228694201524892,76.91150883812215,29.04736541000005,32.09623925,0.8315517902374268,-0.32853963971138,18.949019607843137
UC_17124_2289,10.22869420148102,76.91600041451176,29.53785128000004,33.072083959999986,0.809917688369751,-0.3043534457683563,23.133333333333333
UC_17125_2289,10.22869420148746,76.9204919910017,29.82838298000001,32.60723324000003,0.804324746131897,-0.2979876101016998,24.91764705882353
UC_17126_2289,10.2286942015024,76.92498356734083,29.96510378000005,33.058411879999994,0.8077606558799744,-0.2968564331531524,24.854901960784314
UC_17127_2289,10.22869420149321,76.92947514375984,29.45581880000003,32.03300588000002,0.8121859431266785,-0.3009933233261108,24.854901960784314
