cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,baseline_heat_risk_score,heat_risk_class,recommendation_1,recommendation_1_score,recommendation_1_priority,recommendation_1_reason,recommendation_2,recommendation_2_score,recommendation_2_priority,recommendation_2_reason,recommendation_3,recommendation_3_score,recommendation_3_priority,recommendation_3_reason
UC_17121_2465,11.005671729515145,76.90252568526792,42.5810156,47.584996880000006,0.4209693968296051,-0.0592717938125133,65.0042367291434,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.421; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.059; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 42.58 °C and baseline score is 65.0; targeted shade is a lower-priority option.
UC_17122_2465,11.005671729487595,76.9070172616555,42.760461650000025,47.791787090000014,0.3892059028148651,-0.0148602537810802,68.0347498859555,High,Green Corridors / Connected Vegetation,4.02,Low,Connect vegetation where heat exposure (LST 42.76 °C) and vegetation level (NDVI 0.389) indicate cooling need.,Tree / Vegetation Cover,3.64,Low,High heat exposure (median LST 42.76 °C) combines with low vegetation (NDVI 0.389).,Shaded Public / Pedestrian Areas,2.12,Low,Heat exposure is elevated (median LST 42.76 °C; baseline score 68.0).
UC_17123_2465,11.005671729498188,76.91150883809858,42.77584274000003,46.57326296000002,0.3423004746437073,-0.0049282126128673,69.551301717779,High,Green Corridors / Connected Vegetation,12.86,Low,Connect vegetation where heat exposure (LST 42.78 °C) and vegetation level (NDVI 0.342) indicate cooling need.,Tree / Vegetation Cover,12.07,Low,High heat exposure (median LST 42.78 °C) combines with low vegetation (NDVI 0.342).,Shaded Public / Pedestrian Areas,8.92,Low,Heat exposure is elevated (median LST 42.78 °C; baseline score 69.6).
UC_17124_2465,11.005671729549212,76.91600041454575,42.69722828000002,47.15432636000003,0.3985985815525055,-0.0348489135503768,66.81101653559281,Medium,Green Corridors / Connected Vegetation,1.88,Low,NDVI 0.399 and baseline score 66.8 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,1.5,Low,"Vegetation is relatively low (NDVI 0.399), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.035; reflective roofs are a lower-priority option here.
UC_17125_2465,11.005671729529016,76.92049199095855,42.27510281000002,48.40873970000001,0.4153985977172851,-0.0331274047493934,65.75912393273565,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.415; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.033; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 42.28 °C and baseline score is 65.8; targeted shade is a lower-priority option.
UC_17126_2465,11.00567172951203,76.92498356738334,38.26576535000001,42.41011460000004,0.5342296957969666,-0.1932797878980636,48.70780891811768,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.534; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.193; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 38.27 °C and baseline score is 48.7; targeted shade is a lower-priority option.
UC_17127_2465,11.005671729540078,76.9294751437199,40.41228191000005,46.44679622000001,0.5213919878005981,-0.133043110370636,55.5590085229923,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.521; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.133; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 40.41 °C and baseline score is 55.6; targeted shade is a lower-priority option.
UC_17128_2465,11.005671729538705,76.93396672023275,42.51265520000001,45.69483181999999,0.4349432587623596,-0.071811631321907,64.00577036641941,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.435; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.072; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 42.51 °C and baseline score is 64.0; targeted shade is a lower-priority option.
UC_17129_2465,11.005671729503325,76.9384582966694,41.34711038,44.63866364,0.4143856763839721,-0.0664867237210273,62.61262208910122,Medium,Green Corridors / Connected Vegetation,0.05,Low,NDVI 0.414 and baseline score 62.6 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,0.04,Low,"Vegetation is relatively low (NDVI 0.414), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.066; reflective roofs are a lower-priority option here.
UC_17130_2465,11.005671729519854,76.94294987297688,41.90424764,45.53418488,0.2951206564903259,-0.0234317556023597,68.20067169916977,High,Green Corridors / Connected Vegetation,15.3,Low,Connect vegetation where heat exposure (LST 41.90 °C) and vegetation level (NDVI 0.295) indicate cooling need.,Tree / Vegetation Cover,12.81,Low,High heat exposure (median LST 41.90 °C) combines with low vegetation (NDVI 0.295).,Shaded Public / Pedestrian Areas,2.86,Low,Heat exposure is elevated (median LST 41.90 °C; baseline score 68.2).
UC_17131_2465,11.005671729546483,76.94744144949156,43.76535953000001,47.18850656000001,0.2807918787002563,0.0129744987934827,73.49798333665312,High,Green Corridors / Connected Vegetation,28.84,Low,Connect vegetation where heat exposure (LST 43.77 °C) and vegetation level (NDVI 0.281) indicate cooling need.,Tree / Vegetation Cover,28.4,Low,High heat exposure (median LST 43.77 °C) combines with low vegetation (NDVI 0.281).,Shaded Public / Pedestrian Areas,26.63,Low,Heat exposure is elevated (median LST 43.77 °C; baseline score 73.5).
UC_17132_2465,11.00567172950417,76.95193302594691,43.775613590000006,48.57964070000003,0.2747324705123901,0.0241118520498275,74.15337372321741,High,Green Corridors / Connected Vegetation,31.02,Low,Connect vegetation where heat exposure (LST 43.78 °C) and vegetation level (NDVI 0.275) indicate cooling need.,Tree / Vegetation Cover,30.73,Low,High heat exposure (median LST 43.78 °C) combines with low vegetation (NDVI 0.275).,Shaded Public / Pedestrian Areas,29.57,Low,Heat exposure is elevated (median LST 43.78 °C; baseline score 74.2).
UC_17133_2465,11.00567172951835,76.95642460229642,43.80466676000003,48.51128030000001,0.2812578380107879,0.0161935333162546,73.70336645368143,High,Green Corridors / Connected Vegetation,29.25,Low,Connect vegetation where heat exposure (LST 43.80 °C) and vegetation level (NDVI 0.281) indicate cooling need.,Tree / Vegetation Cover,28.91,Low,High heat exposure (median LST 43.80 °C) combines with low vegetation (NDVI 0.281).,Shaded Public / Pedestrian Areas,27.55,Low,Heat exposure is elevated (median LST 43.80 °C; baseline score 73.7).
UC_17134_2465,11.005671729544918,76.96091617873628,42.32808212000003,46.78859822000004,0.3995911777019501,-0.0404733009636402,65.87339660498664,Medium,Green Corridors / Connected Vegetation,1.76,Low,NDVI 0.400 and baseline score 65.9 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,1.41,Low,"Vegetation is relatively low (NDVI 0.400), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.040; reflective roofs are a lower-priority option here.
UC_17135_2465,11.005671729544352,76.9654077550987,43.94138756000001,48.46342802000004,0.2841211557388305,0.0148307941854,73.8234527163255,High,Green Corridors / Connected Vegetation,29.19,Low,Connect vegetation where heat exposure (LST 43.94 °C) and vegetation level (NDVI 0.284) indicate cooling need.,Tree / Vegetation Cover,28.97,Low,High heat exposure (median LST 43.94 °C) combines with low vegetation (NDVI 0.284).,Shaded Public / Pedestrian Areas,28.09,Low,Heat exposure is elevated (median LST 43.94 °C; baseline score 73.8).
UC_17136_2465,11.005671729521236,76.96989933160965,44.54979512000003,49.21539242000006,0.3090487420558929,0.0092578455805778,74.1096042618689,High,Shaded Public / Pedestrian Areas,29.37,Low,Heat exposure is elevated (median LST 44.55 °C; baseline score 74.1).,Tree / Vegetation Cover,27.43,Low,High heat exposure (median LST 44.55 °C) combines with low vegetation (NDVI 0.309).,Green Corridors / Connected Vegetation,26.94,Low,Connect vegetation where heat exposure (LST 44.55 °C) and vegetation level (NDVI 0.309) indicate cooling need.
UC_17137_2465,11.005671729519662,76.97439090792965,43.82517488000002,47.82425827999998,0.2976422607898712,-0.0012458807323127,72.58965048715604,High,Green Corridors / Connected Vegetation,24.85,Low,Connect vegetation where heat exposure (LST 43.83 °C) and vegetation level (NDVI 0.298) indicate cooling need.,Tree / Vegetation Cover,24.39,Low,High heat exposure (median LST 43.83 °C) combines with low vegetation (NDVI 0.298).,Shaded Public / Pedestrian Areas,22.55,Low,Heat exposure is elevated (median LST 43.83 °C; baseline score 72.6).
UC_17138_2465,11.005671729535056,76.97888248440847,41.62396999999999,45.92042114000003,0.3696350157260895,-0.0498474836349487,64.85278829043656,Medium,Green Corridors / Connected Vegetation,5.23,Low,NDVI 0.370 and baseline score 64.9 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,4.19,Low,"Vegetation is relatively low (NDVI 0.370), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.050; reflective roofs are a lower-priority option here.
UC_17139_2465,11.005671729530178,76.98337406087006,40.877132630000034,44.50536086,0.4105948805809021,-0.0676023066043853,61.80382373954545,Medium,Green Corridors / Connected Vegetation,0.49,Low,NDVI 0.411 and baseline score 61.8 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,0.39,Low,"Vegetation is relatively low (NDVI 0.411), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.068; reflective roofs are a lower-priority option here.
UC_17140_2465,11.005671729507316,76.9878656372158,41.43597890000001,45.75293815999999,0.4093222916126251,-0.0584945380687713,63.2449316515813,Medium,Green Corridors / Connected Vegetation,0.64,Low,NDVI 0.409 and baseline score 63.2 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,0.51,Low,"Vegetation is relatively low (NDVI 0.409), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.058; reflective roofs are a lower-priority option here.
UC_17141_2465,11.005671729505991,76.99235721369617,43.33981604000002,48.21733058000001,0.2822738289833069,0.0264988634735345,73.31244525656389,High,Green Corridors / Connected Vegetation,28.26,Low,Connect vegetation where heat exposure (LST 43.34 °C) and vegetation level (NDVI 0.282) indicate cooling need.,Tree / Vegetation Cover,27.76,Low,High heat exposure (median LST 43.34 °C) combines with low vegetation (NDVI 0.282).,Shaded Public / Pedestrian Areas,25.8,Low,Heat exposure is elevated (median LST 43.34 °C; baseline score 73.3).
UC_17142_2465,11.005671729530784,76.99684879009742,41.25140582000003,46.388689880000015,0.3366343080997467,-0.0031226908322423,67.02549171037555,Medium,Green Corridors / Connected Vegetation,9.06,Low,NDVI 0.337 and baseline score 67.0 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,7.25,Low,"Vegetation is relatively low (NDVI 0.337), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,1.08,Low,Built-up intensity is relatively high (NDBI -0.003).
UC_17143_2465,11.005671729537584,77.00134036652122,41.01214442000003,44.67284384000004,0.4337059259414673,-0.0542341098189353,62.136261365766224,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.434; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.054; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 41.01 °C and baseline score is 62.1; targeted shade is a lower-priority option.
UC_17144_2465,11.005671729530969,77.00583194297215,40.9574561,46.22120690000003,0.3726693987846374,0.0091394372284412,66.25219849800482,Medium,Green Corridors / Connected Vegetation,4.88,Low,NDVI 0.373 and baseline score 66.3 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,3.91,Low,"Vegetation is relatively low (NDVI 0.373), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,3.47,Low,Built-up intensity is relatively high (NDBI 0.009).
UC_17145_2465,11.005671729513208,77.01032351928174,40.34221250000002,44.61131948000002,0.365790456533432,-0.0274186097085475,63.652221187376576,Medium,Green Corridors / Connected Vegetation,5.68,Low,NDVI 0.366 and baseline score 63.7 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,4.54,Low,"Vegetation is relatively low (NDVI 0.366), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.027; reflective roofs are a lower-priority option here.
